name,type,latitude,longitude
SLMNCRK_6_N001,Load Node,38.3436,-123.04
ESTGRND_1_N001,Load Node,37.6539,-122.4
ESTGRND_1_N005,Load Node,37.6539,-122.4
ESTGRND_1_N009,Load Node,37.6539,-122.4
VALLYHM_1_N001,Load Node,37.8558,-120.94
VALLYHM_1_N004,Generation Node,37.8558,-120.94
PALOMAR_1_N001,Load Node,33.1228,-117.29
PALOMAR_1_N004,Load Node,33.1228,-117.29
PALOMAR_1_N013,Load Node,33.1228,-117.29
BRKRSLG_1_N005,Load Node,38.79,-121.55
SANTYSBL_6_N001,Load Node,33.1105,-116.67
AVENA_1_N001,Load Node,37.8422,-121.05
BLLEHVN_6_N001,Load Node,37.4772,-122.17
BLLEHVN_6_N002,Load Node,37.4772,-122.17
BLLEHVN_6_N004,Load Node,37.4772,-122.17
BLLEHVN_6_N006,Load Node,37.4772,-122.17
BLLEHVN_6_N007,Load Node,37.4772,-122.17
BLLEHVN_6_N009,Generation Node,37.4772,-122.17
DUNNIGAN_6_N001,Load Node,38.9248,-121.99
SERRMNTE_1_N011,Load Node,37.6917,-122.46
DESCANSO_6_N001,Load Node,32.8652,-116.63
GABILAN_6_N001,Load Node,36.7315,-121.61
